direction,row_num,subsidy_type,criteria,verification_method,deadline
Скотоводство,2.,Приобретение семени племенного быка молочного/ молочно-мясного и мясного/мясо-молочного направлений:,"1. Наличие учетного номера (за исключением сельскохозяйственного кооператива). 2. Наличие земель сельскохозяйственного назначения, для товаропроизводителей, расположенных на территории городов республиканского значения – земель сельскохозяйственного использования населенных пунктов. Данный критерий не распространяется на сельскохозяйственные кооперативы, сформированные исключительно из личных подсобных хозяйств. 3. Наличие регистрации маточного поголовья в ИСЖ и ИБСПР на момент подачи заявки. 4. Наличие регистрации в ИБСПР племенных быков-производителей молочного и молочно-мясного направлений, семя которых было приобретено. 5. Норма приобретения из расчета две дозы на одну голову маточного поголовья. 6. Отсутствие у приобретенного семени генетических аномалий, подтвержденное Республиканской палатой (при импорте).","Интеграционное взаимодействие с ЕАСУ, ИСЕГКН, ИСЖ и ИБСПР",С 20 января до 20 декабря (включительно) текущего года (заявка подается в течение двенадцати месяцев с момента приобретения)
Скотоводство,2.1,Однополое,"1. Наличие учетного номера (за исключением сельскохозяйственного кооператива). 2. Наличие земель сельскохозяйственного назначения, для товаропроизводителей, расположенных на территории городов республиканского значения – земель сельскохозяйственного использования населенных пунктов. Данный критерий не распространяется на сельскохозяйственные кооперативы, сформированные исключительно из личных подсобных хозяйств. 3. Наличие регистрации маточного поголовья в ИСЖ и ИБСПР на момент подачи заявки. 4. Наличие регистрации в ИБСПР племенных быков-производителей молочного и молочно-мясного направлений, семя которых было приобретено. 5. Норма приобретения из расчета две дозы на одну голову маточного поголовья. 6. Отсутствие у приобретенного семени генетических аномалий, подтвержденное Республиканской палатой (при импорте).","Интеграционное взаимодействие с ЕАСУ, ИСЕГКН, ИСЖ и ИБСПР",С 20 января до 20 декабря (включительно) текущего года (заявка подается в течение двенадцати месяцев с момента приобретения)
Скотоводство,2.2,Двуполое,"1. Наличие учетного номера (за исключением сельскохозяйственного кооператива). 2. Наличие земель сельскохозяйственного назначения, для товаропроизводителей, расположенных на территории городов республиканского значения – земель сельскохозяйственного использования населенных пунктов. Данный критерий не распространяется на сельскохозяйственные кооперативы, сформированные исключительно из личных подсобных хозяйств. 3. Наличие регистрации маточного поголовья в ИСЖ и ИБСПР на момент подачи заявки. 4. Наличие регистрации в ИБСПР племенных быков-производителей молочного и молочно-мясного направлений, семя которых было приобретено. 5. Норма приобретения из расчета две дозы на одну голову маточного поголовья. 6. Отсутствие у приобретенного семени генетических аномалий, подтвержденное Республиканской палатой (при импорте).","Интеграционное взаимодействие с ЕАСУ, ИСЕГКН, ИСЖ и ИБСПР",С 20 января до 20 декабря (включительно) текущего года (заявка подается в течение двенадцати месяцев с момента приобретения)
Мясное птицеводство,1.,Приобретение племенного суточного молодняка родительской/прародительской формы,1. Наличие учетного номера. 2. Наличие регистрации приобретенного племенного суточного молодняка в ИБСПР на момент подачи заявки.,Интеграционное взаимодействие с ЕАСУ и ИБСПР,С 20 января до 20 декабря (включительно) текущего года (заявка подается в течение двенадцати месяцев с момента приобретения)
Мясное птицеводство,2.,Удешевление стоимости производства мяса курицы,1. Наличие учетного номера. 2. Наличие положительного заключения специальной комиссии на птицефабрику по форме согласно приложению 5 к настоящим Правилам.,Интеграционное взаимодействие с ЕАСУ,С 20 января до 20 декабря (включительно) текущего года (заявка подается в течение шести месяцев с момента получения оплаты за реализованное мясо курицы)
Яичное птицеводство,1.,"Приобретение суточного молодняка финальной формы яичного направления, полученного от племенной птицы","1. Наличие учетного номера. 2. Наличие регистрации приобретенного суточного молодняка финальной формы яичного направления, полученного от племенной птицы в ИБСПР на момент подачи заявки. 3. Наличие племенного свидетельства (сертификата) на родительское стадо от которого получен суточный молодняк финальной формы.",Интеграционное взаимодействие с ЕАСУ и ИБСПР,С 20 января до 20 декабря (включительно) текущего года (заявка подается в течение двенадцати месяцев с момента приобретения)
Овцеводство,1.,"Приобретение племенных овец, баранов-производителей","1. Наличие учетного номера (за исключением сельскохозяйственного кооператива при приобретении племенных баранов-производителей). 2. Наличие земель сельскохозяйственного назначения, для товаропроизводителей, расположенных на территории городов республиканского значения – земель сельскохозяйственного использования населенных пунктов. Данный критерий не распространяется на сельскохозяйственные кооперативы, сформированные исключительно из личных подсобных хозяйств. 3. Наличие регистрации приобретенного поголовья в ИСЖ и ИБСПР на момент подачи заявки. 4. Возраст приобретенного племенного поголовья (при приобретении внутри страны - на момент даты продажи, указанный в племенном свидетельстве; при импорте - на момент постановки скота на карантинирование у продавца (экспортера)): бараны-производители – от 4 до 18 месяцев включительно, маточное поголовье овец – от 4 до 18 месяцев включительно. 5. Принятие обязательства по целевому использованию животных: маточного поголовья не менее двух лет, за исключением норм естественной убыли (падежа); баранов-производителей не менее двух случных сезонов подряд (не менее 18 месяцев). 6. Количество приобретенных племенных баранов-производителей должно быть в следующих соотношениях к маточному поголовью: 1) для вольной/ручной случки – не менее 20 маток и не более 30 маток на 1 барана; 2) для проведения искусственного осеменения – 1 баран на 300 маток; 3) для докрытия при искусственном осеменении – 1 баран на 100 маток.","Интеграционное взаимодействие с ЕАСУ, ИСЕГКН, ИСЖ и ИБСПР",С 20 января до 20 декабря (включительно) текущего года (заявка подается в течение двенадцати месяцев с момента приобретения)
Овцеводство,2.,Удешевление затрат при выращивании племенного молодняка мелкого рогатого скота,"1. Наличие учетного номера. 2. Наличие земель сельскохозяйственного назначения. 3. Наличие регистрации реализованного племенного поголовья мелкого рогатого скота, рожденного в данном хозяйстве, в ИСЖ и ИБСПР (исторические сведения). 4. Возраст животных при реализации от 4 до 18 месяцев включительно. 5. Наличие племенного статуса у реализованного поголовья, присвоенного Республиканской палатой в ИБСПР, а также наличие бонитировки.","Интеграционное взаимодействие с ЕАСУ, ИСЕГКН, ИСЖ и ИБСПР",С 20 января до 20 декабря (включительно) текущего года (заявка подается в течение двенадцати месяцев с момента реализации)
Овцеводство,3.,"Удешевление стоимости мелкого рогатого скота мужской особи, реализованного на откорм в откормочные площадки или на убой в мясоперерабатывающие предприятия","1. Наличие учетного номера (за исключением сельскохозяйственного кооператива). 2. Наличие земель сельскохозяйственного назначения, для товаропроизводителей, расположенных на территории городов республиканского значения – земель сельскохозяйственного использования населенных пунктов. Данный критерий не распространяется на сельскохозяйственные кооперативы, сформированные исключительно из личных подсобных хозяйств. 3. Наличие регистрации маточного поголовья мелкого рогатого скота, а также его приплода мужской особи, рожденного в данном хозяйстве в ИСЖ и ИБСПР (исторические сведения) на момент подачи заявки. 4. Реализация мелкого рогатого скота мужской особи на откормочную площадку для откорма мелкого рогатого скота или на мясоперерабатывающие предприятия с убойной мощностью не менее 300 голов мелкого рогатого скота в сутки, имеющие учетный номер и положительное заключение специальной комиссии по форме согласно приложению 5 к настоящим Правилам. 5. Возраст мелкого рогатого скота мужской особи от 4 до 12 месяцев включительно на момент реализации. 6. Наличие регистрации в ИСЖ и ИБСПР (исторические сведения) реализованного мелкого рогатого скота мужской особи на имя откормочной площадки; 6.1. При реализации поголовья на мясоперерабатывающее предприятие -наличие сведений в ЕАСУ (исторические сведения) о реализованном поголовье.","Интеграционное взаимодействие с ЕАСУ, ИСЕГКН, ИСЖ и ИБСПР",С 20 января до 20 декабря (включительно) текущего года (заявка подается в течение шести месяцев с момента реализации)
Овцеводство,4.,"Удешевление стоимости мелкого рогатого скота мужской особи, реализованного на откорм в откормочные площадки или на убой в мясоперерабатывающие предприятия (сезонные поставки)","1. Наличие учетного номера (за исключением сельскохозяйственного кооператива). 2. Наличие земель сельскохозяйственного назначения, для товаропроизводителей, расположенных на территории городов республиканского значения – земель сельскохозяйственного использования населенных пунктов. 3. Наличие регистрации маточного поголовья мелкого рогатого скота, а также его приплода мужской особи, рожденного в данном хозяйстве в ИСЖ и ИБСПР (исторические сведения) на момент подачи заявки. 4. Реализация мелкого рогатого скота мужской особи в период с января по апрель месяц включительно, на откормочную площадку для откорма мелкого рогатого скота или на мясоперерабатывающие предприятия с убойной мощностью не менее 300 голов мелкого рогатого скота в сутки, имеющие учетный номер и положительное заключение специальной комиссии по форме согласно приложению 5 к настоящим Правилам. 5. Возраст реализованного мелкого рогатого скота мужской особи от 4 до 6 месяцев включительно на момент реализации. 6. Живой вес реализованного поголовья мелкого рогатого скота на откормочную площадку не менее 25 килограмм. 7. Наличие регистрации в ИСЖ и ИБСПР (исторические сведения) реализованного мелкого рогатого скота мужской особи на имя откормочной площадки; 7.1. При реализации поголовья на мясоперерабатывающее предприятие, наличие сведений в ЕАСУ (исторические сведения) о реализованном поголовье.","Интеграционное взаимодействие с ЕАСУ, ИСЕГКН, ИСЖ и ИБСПР",С 20 января до 20 декабря (включительно) текущего года (заявка подается в течение шести месяцев с момента реализации)
